Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
86000,393,86000,0.1,131,0.02768,180,180,170,170,40,35.002742,89.14127,25,0.016723,0.147492,0.835786,-17692.23991,69225.58234,57678.03831,15.725125,23.309297,5.20991,14.25089,68.439616,-0.098937,Case 1
92000,393,92000,0.1,131,0.026425,180,180,170,170,40,35.012664,88.887256,25,0.015609,0.147659,0.836732,-22624.56697,68591.26128,58925.05481,15.752003,23.343432,4.965954,14.535018,70.465137,-0.082563,Case 2
98000,393,98000,0.1,131,0.025368,180,180,170,170,40,35.011331,88.636066,25,0.014701,0.147795,0.837504,-27760.99748,68175.4195,59744.87757,15.770362,23.370411,4.761034,14.694808,71.77603,-0.06498,Case 3
104000,393,104000,0.1,131,0.024442,180,180,170,170,40,35.0109,88.370803,25,0.013871,0.147919,0.83821,-33152.35372,67796.89817,60486.71731,15.788474,23.395174,4.58197,14.859111,73.111173,-0.046595,Case 4
110000,393,110000,0.1,131,0.023517,180,180,170,170,40,35.008243,88.108011,25,0.013074,0.148039,0.838887,-38752.90479,67610.48112,60957.12597,15.801032,23.417593,4.403612,15.037684,74.492421,-0.028187,Case 5
116000,393,116000,0.1,131,0.023241,180,180,170,170,40,35.003814,87.914454,25,0.01271,0.148094,0.839197,-44446.01182,67260.5679,61523.25149,15.811642,23.430154,4.349963,15.105416,75.167855,-0.005914,Case 6
122000,393,122000,0.1,131,0.022625,180,180,170,170,40,35.007518,87.591236,25,0.012137,0.148179,0.839683,-49277.85642,67050.24358,61960.80737,15.824199,23.446779,4.231342,15.270191,76.396415,0.014344,Case 7
128000,393,128000,0.1,131,0.022126,180,180,170,170,40,35.010258,87.325313,25,0.011664,0.14825,0.840086,-55529.71265,66842.67984,62292.36023,15.825613,23.461003,4.135117,15.366023,77.2334,0.035298,Case 8
134000,393,134000,0.1,131,0.021899,180,180,170,170,40,35.002338,87.047747,25,0.011449,0.148283,0.840268,-61007.20042,66806.72299,62524.4511,15.838841,23.466665,4.0918,15.379442,77.465733,0.057891,Case 9
140000,393,140000,0.1,131,0.021544,180,180,170,170,40,35.002592,86.787559,25,0.011077,0.148338,0.840585,-66744.55743,66649.1821,62827.90867,15.846237,23.477756,4.023631,15.456511,78.167864,0.079714,Case 10
146000,393,146000,0.1,131,0.021195,180,180,170,170,40,35.002979,86.528498,25,0.010705,0.148394,0.840901,-72706.46943,66495.36486,63091.92478,15.850405,23.488787,3.956588,15.520377,78.813403,0.101572,Case 11
152000,393,152000,0.1,131,0.020876,180,180,170,170,40,35.003517,86.27272,25,0.010357,0.148446,0.841197,-78470.55053,66351.00143,63363.66202,15.857467,23.499134,3.895288,15.580898,79.431174,0.123608,Case 12
158000,393,158000,0.1,131,0.020593,180,180,170,170,40,35.003681,86.024101,25,0.010046,0.148493,0.841461,-84277.70078,66227.62154,63595.35386,15.862991,23.508317,3.840996,15.634071,79.985106,0.145861,Case 13
164000,393,164000,0.1,131,0.020387,180,180,170,170,40,35.003769,85.779867,25,0.009818,0.148527,0.841655,-90114.63286,66139.69478,63746.58748,15.863666,23.515006,3.801522,15.698594,80.528873,0.168573,Case 14
170000,393,170000,0.1,131,0.020051,180,180,170,170,40,35.008224,85.500848,25,0.009398,0.14859,0.842011,-95701.70303,65928.68212,64204.73859,15.887268,23.527915,3.736924,15.739931,81.154868,0.190507,Case 15
176000,393,176000,0.1,131,0.019817,180,180,170,170,40,35.006855,85.252048,25,0.00918,0.148623,0.842197,-101606.9465,65936.67178,64267.80079,15.889796,23.533362,3.692531,15.771118,81.495143,0.213067,Case 16
182000,393,182000,0.1,131,0.019605,180,180,170,170,40,35.006942,85.007039,25,0.008935,0.14866,0.842405,-107317.6287,65944.66795,64362.68743,15.896335,23.539491,3.652099,15.8018,81.893749,0.23575,Case 17
188000,393,188000,0.1,131,0.019542,180,180,170,170,40,35.004584,84.786124,25,0.008808,0.148679,0.842513,-113115.3237,65664.6742,64638.70627,15.892569,23.545585,3.639476,15.829448,82.20679,0.259294,Case 18
194000,393,194000,0.1,131,0.019349,180,180,170,170,40,35.005771,84.561763,25,0.00862,0.148707,0.842673,-119314.0782,65671.98962,64616.53881,15.885505,23.550279,3.602902,15.871595,82.596296,0.282097,Case 19
200000,393,200000,0.1,131,0.019183,180,180,170,170,40,35.005826,84.317701,25,0.008425,0.148736,0.842839,-125199.7639,65678.05157,64695.08147,15.890903,23.555153,3.571349,15.905428,82.969961,0.305055,Case 20
