Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
86000,432,86000,0.1,144,0.031684,180,180,170,170,40,35.002775,89.402599,25,0.019003,0.14715,0.833848,-13648.7689,77579.50523,60675.98712,17.23343,25.55048,6.582148,14.849378,64.504587,-0.11629,Case 1
92000,432,92000,0.1,144,0.029798,180,180,170,170,40,35.002407,89.197496,25,0.017394,0.147391,0.835215,-17930.43677,76536.7389,62686.86076,17.274849,25.603751,6.176912,15.230576,67.008457,-0.104916,Case 2
98000,432,98000,0.1,144,0.028307,180,180,170,170,40,35.004218,88.992187,25,0.016174,0.147574,0.836252,-22689.37952,75916.96593,63926.57017,17.299134,25.643368,5.857339,15.567332,69.127586,-0.090887,Case 3
104000,432,104000,0.1,144,0.027335,180,180,170,170,40,35.004225,88.757941,25,0.015323,0.147702,0.836975,-27787.59949,75477.17514,64852.23133,17.320555,25.671171,5.649447,15.765159,70.512489,-0.073395,Case 4
110000,432,110000,0.1,144,0.026306,180,180,170,170,40,35.00417,88.532352,25,0.014398,0.14784,0.837762,-32952.54394,75004.00467,65721.94825,17.339747,25.701322,5.429939,15.983458,72.075714,-0.056264,Case 5
116000,432,116000,0.1,144,0.025767,180,180,170,170,40,35.008589,88.298575,25,0.013865,0.14792,0.838215,-38045.60113,74805.36795,66252.54282,17.355256,25.718577,5.314637,16.091007,72.945308,-0.035902,Case 6
122000,432,122000,0.1,144,0.025184,180,180,170,170,40,35.002989,88.060647,25,0.013406,0.147989,0.838605,-43618.78492,74680.21843,66593.91982,17.362545,25.732126,5.191399,16.232037,73.843779,-0.015786,Case 7
128000,432,128000,0.1,144,0.02445,180,180,170,170,40,35.006904,87.799786,25,0.012686,0.148097,0.839217,-49329.70154,74373.74518,67202.08329,17.380086,25.755383,5.035294,16.390765,75.100412,0.003311,Case 8
134000,432,134000,0.1,144,0.0242,180,180,170,170,40,35.001951,87.561948,25,0.012449,0.148133,0.839418,-54935.06123,74267.60072,67461.71127,17.384557,25.762755,4.982476,16.443539,75.519981,0.02561,Case 9
140000,432,140000,0.1,144,0.02371,180,180,170,170,40,35.002672,87.311542,25,0.011951,0.148207,0.839842,-60826.92814,74018.04167,67916.25588,17.396429,25.779055,4.878411,16.516309,76.251277,0.04632,Case 10
146000,432,146000,0.1,144,0.023326,180,180,170,170,40,35.00309,87.072901,25,0.011541,0.148269,0.84019,-66524.80782,73843.69567,68264.80149,17.405609,25.792254,4.797067,16.595156,76.960441,0.067734,Case 11
152000,432,152000,0.1,144,0.023029,180,180,170,170,40,35.003014,86.85314,25,0.01123,0.148315,0.840454,-72089.4807,73709.4528,68524.65933,17.410305,25.802221,4.734178,16.667058,77.557756,0.089721,Case 12
158000,432,158000,0.1,144,0.022688,180,180,170,170,40,35.003546,86.603252,25,0.01086,0.148371,0.840769,-77997.2837,73545.5392,68846.20933,17.419689,25.814161,4.661849,16.741577,78.22783,0.111415,Case 13
164000,432,164000,0.1,144,0.022359,180,180,170,170,40,35.008118,86.359751,25,0.010466,0.14843,0.841104,-83635.15809,73320.0993,69278.43852,17.435763,25.827447,4.591986,16.84004,79.060362,0.133185,Case 14
170000,432,170000,0.1,144,0.022069,180,180,170,170,40,35.00711,86.125589,25,0.010195,0.148471,0.841334,-89258.592,73331.80159,69404.05705,17.443974,25.834851,4.531145,16.876114,79.442564,0.155236,Case 15
176000,432,176000,0.1,144,0.021838,180,180,170,170,40,35.007127,85.89644,25,0.009934,0.14851,0.841556,-95115.20984,73341.81911,69486.89422,17.447177,25.842041,4.482592,16.928108,79.935186,0.177667,Case 16
182000,432,182000,0.1,144,0.021645,180,180,170,170,40,35.007062,85.66987,25,0.009685,0.148547,0.841767,-100914.9654,73023.63948,69905.29896,17.454033,25.852026,4.441428,16.966393,80.372548,0.200327,Case 17
188000,432,188000,0.1,144,0.021418,180,180,170,170,40,35.006909,85.439107,25,0.009452,0.148582,0.841966,-106791.8879,73033.34833,69994.32808,17.459182,25.858423,4.393724,17.003453,80.756454,0.222784,Case 18
194000,432,194000,0.1,144,0.021231,180,180,170,170,40,35.006841,85.216673,25,0.009233,0.148615,0.842152,-112615.3859,73041.5029,70066.98742,17.462594,25.864427,4.354529,17.041003,81.153217,0.245505,Case 19
200000,432,200000,0.1,144,0.021079,180,180,170,170,40,35.006886,84.995238,25,0.009027,0.148646,0.842327,-118621.0246,72763.52585,70405.87067,17.465709,25.87293,4.322042,17.076857,81.548694,0.268434,Case 20
